pr	round1	round2	score_r2	final	note
2007	UNCERTAIN	PARTIAL	0.65	DEFERRED	PARTIAL/uncertain; needs per-PR review
2148	PRESENT	-	-	PRESENT	round1 content match >=0.70
2711	PRESENT	-	-	PRESENT	round1 content match >=0.70
2854	UNCERTAIN	PRESENT	0.93	DEFERRED	PARTIAL/uncertain; needs per-PR review
2872	PRESENT	-	-	PRESENT	round1 content match >=0.70
2926	PRESENT	-	-	PRESENT	round1 content match >=0.70
2930	PRESENT	-	-	PRESENT	round1 content match >=0.70
2951	PRESENT	-	-	PRESENT	round1 content match >=0.70
2955	PRESENT	-	-	PRESENT	round1 content match >=0.70
2960	ABSENT	ABSENT	0.00	SKIP	fork validateAPIKeyName rejects <> at input; stricter than upstream html.EscapeString
2961	PRESENT	-	-	PRESENT	round1 content match >=0.70
2970	NO_SIGNAL	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
2972	PRESENT	-	-	PRESENT	round1 content match >=0.70
2975	PRESENT	-	-	PRESENT	round1 content match >=0.70
2988	PRESENT	-	-	PRESENT	round1 content match >=0.70
2993	PRESENT	-	-	PRESENT	round1 content match >=0.70
2995	UNCERTAIN	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
2997	UNCERTAIN	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
2999	PRESENT	-	-	PRESENT	round1 content match >=0.70
3000	PRESENT	-	-	PRESENT	round1 content match >=0.70
3001	NO_SIGNAL	ABSENT	0.00	SUPERSEDED	Go toolchain PR; main already on go1.27.0 - merging would downgrade
3009	PRESENT	-	-	PRESENT	round1 content match >=0.70
3012	PRESENT	-	-	PRESENT	round1 content match >=0.70
3016	PRESENT	-	-	PRESENT	round1 content match >=0.70
3018	PRESENT	-	-	PRESENT	round1 content match >=0.70
3026	PRESENT	-	-	PRESENT	round1 content match >=0.70
3035	PRESENT	-	-	PRESENT	round1 content match >=0.70
3036	PRESENT	-	-	PRESENT	round1 content match >=0.70
3037	PRESENT	-	-	PRESENT	round1 content match >=0.70
3039	PRESENT	-	-	PRESENT	round1 content match >=0.70
3040	PRESENT	-	-	PRESENT	round1 content match >=0.70
3042	PRESENT	-	-	PRESENT	round1 content match >=0.70
3047	UNCERTAIN	PARTIAL	0.71	DEFERRED	PARTIAL/uncertain; needs per-PR review
3051	PRESENT	-	-	PRESENT	round1 content match >=0.70
3052	PRESENT	-	-	PRESENT	round1 content match >=0.70
3056	PRESENT	-	-	PRESENT	round1 content match >=0.70
3062	PRESENT	-	-	PRESENT	round1 content match >=0.70
3065	PRESENT	-	-	PRESENT	round1 content match >=0.70
3069	PRESENT	-	-	PRESENT	round1 content match >=0.70
3075	PRESENT	-	-	PRESENT	round1 content match >=0.70
3078	PRESENT	-	-	PRESENT	round1 content match >=0.70
3083	PRESENT	-	-	PRESENT	round1 content match >=0.70
3094	PRESENT	-	-	PRESENT	round1 content match >=0.70
3097	PRESENT	-	-	PRESENT	round1 content match >=0.70
3104	PRESENT	-	-	PRESENT	round1 content match >=0.70
3107	PRESENT	-	-	PRESENT	round1 content match >=0.70
3113	PRESENT	-	-	PRESENT	round1 content match >=0.70
3132	PRESENT	-	-	PRESENT	round1 content match >=0.70
3140	PRESENT	-	-	PRESENT	round1 content match >=0.70
3154	PRESENT	-	-	PRESENT	round1 content match >=0.70
3155	PRESENT	-	-	PRESENT	round1 content match >=0.70
3173	PRESENT	-	-	PRESENT	round1 content match >=0.70
3176	PRESENT	-	-	PRESENT	round1 content match >=0.70
3178	UNCERTAIN	PRESENT	0.90	DEFERRED	PARTIAL/uncertain; needs per-PR review
3181	PRESENT	-	-	PRESENT	round1 content match >=0.70
3184	PRESENT	-	-	PRESENT	round1 content match >=0.70
3186	PRESENT	-	-	PRESENT	round1 content match >=0.70
3187	ABSENT	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
3195	ABSENT	ABSENT	0.20	PRESENT	target symbol already in main (reformulated implementation)
3215	PRESENT	-	-	PRESENT	round1 content match >=0.70
3218	PRESENT	-	-	PRESENT	round1 content match >=0.70
3220	PRESENT	-	-	PRESENT	round1 content match >=0.70
3223	PRESENT	-	-	PRESENT	round1 content match >=0.70
3230	PRESENT	-	-	PRESENT	round1 content match >=0.70
3232	PRESENT	-	-	PRESENT	round1 content match >=0.70
3243	PRESENT	-	-	PRESENT	round1 content match >=0.70
3247	PRESENT	-	-	PRESENT	round1 content match >=0.70
3250	PRESENT	-	-	PRESENT	round1 content match >=0.70
3251	PRESENT	-	-	PRESENT	round1 content match >=0.70
3252	PRESENT	-	-	PRESENT	round1 content match >=0.70
3255	PRESENT	-	-	PRESENT	round1 content match >=0.70
3258	PRESENT	-	-	PRESENT	round1 content match >=0.70
3267	PRESENT	-	-	PRESENT	round1 content match >=0.70
3272	PRESENT	-	-	PRESENT	round1 content match >=0.70
3273	PRESENT	-	-	PRESENT	round1 content match >=0.70
3274	PRESENT	-	-	PRESENT	round1 content match >=0.70
