index	sha	risk	status	decision	result_commit	tests	notes
240	0fa577a19c07f33808f02ff04ceee16a481b8949	high	pending	auto_merge	-	pending	Grok JWT tier, 4.6, per-model pricing, realtime/search billing, Ent schema and migration overlap main billing and prompt-audit routes
241	4853662f992dfd92bbedbb160aecb2e7a6c76f78	medium	pending	auto_merge	-	pending	Align channel pricing conflict normalization with cache keys
242	e77b4b260e75c3656e251c202210f0442f641b7b	medium	pending	auto_merge	-	pending	Keep Responses capability unknown when probing is inconclusive
243	5912ae960c523027c048e108bd91365174cfcf44	medium	pending	auto_merge	-	pending	Invalidate channel cache when group platform changes; Wire overlap expected
244	e803e3851c0a7e222cfadeafad7b8636ab959d11	medium	pending	auto_merge	-	pending	Add leader lock to scheduled backups; Wire overlap expected
245	0e82efe48951cb7da1f8554639afdeab05bf16b8	low	pending	auto_merge	-	pending	VERSION 0.1.176 only
246	fbfdcef8184ae4b2e224d5cfc47cf1d0e3742710	high	pending	auto_merge	-	pending	Correct Grok long-context and unknown-model billing fallback
247	c204d33b09ebfefe96c1d4dcb16a88590992257e	high	pending	auto_merge	-	pending	Group usage daily rollups, migrations, cleanup and dashboard aggregation
248	1d3b9665c8824d3b7f5a03a3f50419e812261e91	high	pending	auto_merge	-	pending	Remote compaction v2 routing, scheduling, profitability and fallback behavior

