object_index	sha	parents	subject
1	fd9ce53281af6010cba6d8841aa435cc2de6c842	0f73203e35d3e530f4245a32ec3e0f00472cfc38	fix(openai): 探测响应未跑完时不再落标为「上游不支持 Responses」
2	bd404c16f2ff28c7b21c560f816be0b3af4b21c9	4ec9ceec4adac9b7679848347164804451bca48a	fix(channel): align pricing conflict detection with the pricing cache key
3	814ecfba7c11a3e3819f2256b0a8405a0d8b6205	4ec9ceec4adac9b7679848347164804451bca48a	fix(group): invalidate the channel cache when a group's platform changes
4	bba6a55e0f5402c96c0e3dbc0ab8dac4e8474a2d	5935e674a84341c3536e27e6a968384f67d9062b	fix(backup): 定时备份加 leader 锁，避免多实例重复备份
5	bb9e74285e98c9a54b8255a7496468dc559c326d	5935e674a84341c3536e27e6a968384f67d9062b	feat: 从 JWT tier 识别 Grok 订阅档位，刷新后覆盖失效订阅
6	a04ce49016ec2446370d6e0e430d2cd89e7a6654	bb9e74285e98c9a54b8255a7496468dc559c326d	feat: 新增 grok-4.6 目录、官方定价与请求路径支持
7	69648476d4a5a28421ef748ec16931777e245b7c	a04ce49016ec2446370d6e0e430d2cd89e7a6654	fix: 账号徽章与用量格按实时档位展示，避免账单滞后误判
8	f3d9491071d0dc8093c1c10de37b9ad78007b52f	69648476d4a5a28421ef748ec16931777e245b7c	feat: 分组支持逐模型定价，并可关闭长上下文阶梯
9	363cc4994bc44f79e1762b07c3013e97b5be02bf	f3d9491071d0dc8093c1c10de37b9ad78007b52f	fix: SuperGrokPro 用 4.5 窗口区分 Heavy，容量抖动只封单模型
10	0de6d7e9ba3f3a497e36c8ed653dca278f5f601c	363cc4994bc44f79e1762b07c3013e97b5be02bf	feat: 新增独立 /x_search，走原生 x_search 并沿用搜索计费
11	c4d883b8da728d19ca065db2398e1a27db5f9d5f	0de6d7e9ba3f3a497e36c8ed653dca278f5f601c	feat: Chat 与 Responses 往返保留 x_search，并补 sources 抽取
12	678eb22a405526c85ab226c35f3ed1e113369d0f	c4d883b8da728d19ca065db2398e1a27db5f9d5f	fix: Realtime 仅在观察到音频后计费，并修正标志位求值顺序
13	8c4c3c09ceaf540ecfdebf4511c9aadd903f56e0	678eb22a405526c85ab226c35f3ed1e113369d0f	fix: 未登记的 Grok 文本模型回退 grok-4.5 价卡
14	b830bc14d655524357360df1e4301b9cf81fb1fc	8c4c3c09ceaf540ecfdebf4511c9aadd903f56e0	fix: 长上下文默认保持开启，并与 OpenAI 账号开关取交集
15	0ae151a23816539f6530e3cce9e411e22063d8b0	b830bc14d655524357360df1e4301b9cf81fb1fc	fix: 徽章改读 grok_usage_snapshot，增量刷新比较 Grok 快照
16	b61e4bcc458860c438c6cf119208924c4ad9d076	0ae151a23816539f6530e3cce9e411e22063d8b0	fix: 对齐 JWT 常量 gofmt，并补全 available groups 契约字段
17	0fa577a19c07f33808f02ff04ceee16a481b8949	5935e674a84341c3536e27e6a968384f67d9062b b61e4bcc458860c438c6cf119208924c4ad9d076	Merge pull request #5571 from IanShaw027/feat/grok-jwt-tier-and-4.6
18	4853662f992dfd92bbedbb160aecb2e7a6c76f78	0fa577a19c07f33808f02ff04ceee16a481b8949 bd404c16f2ff28c7b21c560f816be0b3af4b21c9	Merge pull request #5540 from luckydududu/fix/channel-pricing-model-name-normalization
19	fd82dfd52d31babdceb2d20e0ef1126e508d0f8d	4853662f992dfd92bbedbb160aecb2e7a6c76f78	fix: Grok 长上下文只跟分组开关，不受 OpenAI 账号开关否决
20	e29b93a1fbc6753590b0bbda010c3ab1ab3361c6	fd82dfd52d31babdceb2d20e0ef1126e508d0f8d	fix: 未知 Grok 文本兜底排除 image/video/audio 等媒体族
21	e215c98c2c959e2b93700d59af08ebec189b27fe	e29b93a1fbc6753590b0bbda010c3ab1ab3361c6	fix: 账号页自动刷新偏好改为模块初始化时恢复
22	e77b4b260e75c3656e251c202210f0442f641b7b	4853662f992dfd92bbedbb160aecb2e7a6c76f78 fd9ce53281af6010cba6d8841aa435cc2de6c842	Merge pull request #5504 from fengshao1227/fix/responses-probe-inconclusive-keeps-unknown
23	5912ae960c523027c048e108bd91365174cfcf44	e77b4b260e75c3656e251c202210f0442f641b7b 814ecfba7c11a3e3819f2256b0a8405a0d8b6205	Merge pull request #5543 from luckydududu/fix/invalidate-channel-cache-on-group-platform-change
24	e803e3851c0a7e222cfadeafad7b8636ab959d11	5912ae960c523027c048e108bd91365174cfcf44 bba6a55e0f5402c96c0e3dbc0ab8dac4e8474a2d	Merge pull request #5559 from seng1e/fix/scheduled-backup-leader-lock
25	0e82efe48951cb7da1f8554639afdeab05bf16b8	e803e3851c0a7e222cfadeafad7b8636ab959d11	chore: sync VERSION to 0.1.176 [skip ci]
26	fbfdcef8184ae4b2e224d5cfc47cf1d0e3742710	0e82efe48951cb7da1f8554639afdeab05bf16b8 e215c98c2c959e2b93700d59af08ebec189b27fe	Merge pull request #5573 from IanShaw027/fix/grok-long-context-and-media-fallback
27	9662cff2e7c62fcfb99111415f5ac11a15748e14	fbfdcef8184ae4b2e224d5cfc47cf1d0e3742710	fix(openai): preserve remote compaction v2 responses endpoint
28	a8b9ea22b701704507fa597c03c1835173248f36	9662cff2e7c62fcfb99111415f5ac11a15748e14	fix(openai): separate native and legacy compaction routing
29	cb7b03795daa7e569fe2f5618207af742ab3da60	fbfdcef8184ae4b2e224d5cfc47cf1d0e3742710	feat: 优化分组用量统计
30	89d826be2979b975400b4424897c5ab665a4fb90	cb7b03795daa7e569fe2f5618207af742ab3da60	修复：解决分组用量 PR 的 CI 失败
31	45dcce0e49b979c4eeea9002b844dc5e923bb681	89d826be2979b975400b4424897c5ab665a4fb90	修复：隔离分组用量仓储测试时区
32	c204d33b09ebfefe96c1d4dcb16a88590992257e	fbfdcef8184ae4b2e224d5cfc47cf1d0e3742710 45dcce0e49b979c4eeea9002b844dc5e923bb681	Merge pull request #5649 from lyen1688/feat/group-usage-daily-rollups
33	1d3b9665c8824d3b7f5a03a3f50419e812261e91	c204d33b09ebfefe96c1d4dcb16a88590992257e a8b9ea22b701704507fa597c03c1835173248f36	Merge pull request #5641 from InCerryGit/fix/issue-5624-remote-compaction-v2
