index	sha	pr	risk	status	decision	result_commit	tests	notes
1	1bf76d26d763ad023286996a202dc2bf135df8b7	#6229	medium	merged	cherry_pick_m1_clean	f871d8dadcb6b22ec82668ec58bc9d167870ac36	unit+integration+lint+frontend_all_green	applied cleanly
2	b9083fc7ad4eefd63c4366486934dd08d920ad8b	#6211	medium	merged	cherry_pick_m1_clean	40ce160580bfb12fc6e5185570087fecd4cd4318	unit+integration+lint+frontend_all_green	applied cleanly
3	5929cdd38cad186abb494f48d0e057697093afc8	#6270	high	merged	cherry_pick_m1_conflict	3c88be088db036d0ca5fd44907e3d2808452c3f3	unit+integration+lint+frontend_all_green	4 empty-HEAD hunks taken; removed fork duplicate responseBody decl (upstream hoisted it); forward-level test assertion rewritten to fork reality (text-fallback branch unwired in fork); 3 of 4 new tests pass verbatim
4	d36f4dd6c6d35cc2662929fea669fa0314b2eb86	#6255	medium	merged	cherry_pick_m1_clean	812fefa4e1823133e9449519780dc3c50d4bc1c4	unit+integration+lint+frontend_all_green	applied cleanly
5	f83fe6435b584a91580579547b046c559bdf161d	#6277	medium	merged	cherry_pick_m1_clean	1fc3061d1958357d53cfc243025629ae21be8aa3	unit+integration+lint+frontend_all_green	applied cleanly
6	0f6ad105feb8de915861bf9695ccf6cc69bcadff	#6246	medium	merged	cherry_pick_m1_clean	a245246b04ec8aa45cf0d704b2c79e040df93ee6	unit+integration+lint+frontend_all_green	applied cleanly
7	fafc4d288d06ffc1c054c73967627b6d53b552d0	#6278	high	merged	cherry_pick_m1_conflict	cf76dfe4b1afedc7243e729d7e48f06fa8502dc9	unit+integration+lint+frontend_all_green	whole-file conflict on openai_codex_models_service.go; took fork version (785 lines, lacks configuredCodexGrokReasoningLevels); upstream rename has no fork counterpart; exported GrokSupportsXHighReasoningEffort landed via other files
8	4e9c1d7c8b1f9dd4dc88d145c15cb96bfafd8f79	#6299	medium	merged	cherry_pick_m1_clean	99698a4519ecee8cc0e53e381fa34421ae935f41	unit+integration+lint+frontend_all_green	applied cleanly
9	443537daae1613c44dba1351fad7faabb1531a26	#6293	medium	merged	cherry_pick_m1_clean	88191152c16a3cc4f01abd8b73cb22f3356ba4f9	unit+integration+lint+frontend_all_green	applied cleanly
10	dc332d141c635da33175f717a4e20640ee072c9f	#6260	medium	merged	cherry_pick_m1_clean	c86f2a2c1a8b82952224d1666987d88604090fc0	unit+integration+lint+frontend_all_green	applied cleanly
11	9b61c1bdd9f30f7f4f70a934f7f32d645d46ca28	#6263	medium	merged	cherry_pick_m1_clean	016e5497f7fd1a501652b630d3128831c4b3fba0	unit+integration+lint+frontend_all_green	applied cleanly
12	e866ff6ec431816e8b9d4b81dc7b00122ca3f7f8	#6303	medium	merged	cherry_pick_m1_clean	2d4af75f2e6813d355f58a3b6facbe1596dcc897	unit+integration+lint+frontend_all_green	applied cleanly
13	1e6926cb9cbafe565f8b1f41a07c71af0b84bbeb	#6312	medium	merged	cherry_pick_m1_clean	9fb9d63da842e14eed69ac9282be8dc6809eb875	unit+integration+lint+frontend_all_green	applied cleanly
14	446042e518fa42b2f725126651a11ba73300e696	#6309	medium	merged	cherry_pick_m1_clean	b8b230e30e40c3c25af46250ece8c20e3fde5ace	unit+integration+lint+frontend_all_green	applied cleanly
15	c8a6e93f3377616d13597d022339a8fd715dd6b5	#6310	medium	merged	cherry_pick_m1_clean	772e07d586c3eba07cc1124e01a157160b5fc499	unit+integration+lint+frontend_all_green	applied cleanly
16	423f89575591e349547b9290ae5cfa4d30c5c17c	#6227	medium	merged	cherry_pick_m1_clean	7b6549db68914b21308ef29121777311c931c621	unit+integration+lint+frontend_all_green	applied cleanly
17	d4754c211a1b5ad71b80734e7d4daec827c54f4f	#6291	medium	merged	cherry_pick_m1_clean	2f7878c85986ffb04671163e9839c88db50ea507	unit+integration+lint+frontend_all_green	applied cleanly
18	987588eaa1bf78f8d49d4623a9f47a153404c3b2	#6358	high	merged	cherry_pick_m1_conflict	c2f613e0c79426d9d30598e1c9888f603c0cd9d5	unit+integration+lint+frontend_all_green	single empty-HEAD hunk; added upstream const-block additions openAIImageCapabilityLossCooldown/Reason (else undefined); file now identical to upstream
19	9ccc9077cc71d3506a2d2af5d2e7e746dc67f12d	#4581	medium	merged	cherry_pick_m1_conflict	688c52980be96798cdb8c37defd607b559b2d9aa	unit+integration+lint+frontend_all_green	[bucketB] deploy/docker-compose.yml conflict: kept both env vars (fork ALIPAY_MOBILE_PRECREATE_DEEP_LINK + upstream UPDATE_GITHUB_TOKEN)
20	efb46db0a960fdad94502b1c3a982a0051cf5245	#5926	high	merged	cherry_pick_m1_conflict	5c581a140761cfad09b113999d88762a4e3015d6	unit+integration+lint+frontend_all_green	[bucketB] gateway_models_test.go empty-HEAD hunk taken; fixed grokSupportsXHighReasoningEffort -> exported name (renamed by #6278 earlier this round); added fork-only giftEngine nil to 4 NewOpenAIGatewayService + 1 NewGatewayService test call sites
21	5eb8628ff290e996e70189b3efdf151f1a521cee	#5620	medium	merged	cherry_pick_m1_clean	2e2ea7422bf15f18c37338a31fb562947240a58e	unit+integration+lint+frontend_all_green	[bucketB] applied cleanly
22	7b693ae4295e20329f18ff451b29a38879cb4705	#6188	high	merged	cherry_pick_m1_conflict	40b79868a078c4ca2b7ab05e19dcda905df2dd43	unit+integration+lint+frontend_all_green	[bucketB] usage_logs INSERT unioned to 64 cols (fork gift_cost/recharge_cost/device_id/client_fingerprint + upstream requested_reasoning_effort); SELECT list unioned to 65 aligned 1:1 with scanUsageLog; arg indices 47/48 -> 49/50 (+2 for gift cols); dropped upstream user-IP test (fork IP is admin-only); frontend kept fork markup (upstream referenced undefined currentToggleableColumns/isCurrentColumnVisible/toggleCurrentColumn); migration renumbered 231 -> 243
